"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Blocked user should not be able to login, and user is blocked message should be displayed","440","Verify locked out user cannot login","Regression Suite","Sat Apr 11 04:22:04 UTC 2026","passed","Sat Apr 11 04:22:04 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"All 6 products should be displayed on Products page","76","Verify all 6 products are displayed","Regression Suite","Sat Apr 11 04:22:20 UTC 2026","passed","Sat Apr 11 04:22:20 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","467","Verify successful login","Regression Suite","Sat Apr 11 04:22:05 UTC 2026","passed","Sat Apr 11 04:22:05 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"User should not be able to login with invalid username or password, and error message should be displayed","558","Verify error message with invalid credentials (password)","Regression Suite","Sat Apr 11 04:22:03 UTC 2026","passed","Sat Apr 11 04:22:03 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","15691","Verify adding products to cart updates badge","Regression Suite","Sat Apr 11 04:22:03 UTC 2026","failed","Sat Apr 11 04:22:19 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
