"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"After adding item to cart, cart icon should be updated with number of item added in cart","218","Verify adding products to cart updates badge","Regression Suite","Sun Apr 12 04:46:34 UTC 2026","passed","Sun Apr 12 04:46:34 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"User should be able to login with valid credentials and product page should be displayed","422","Verify successful login","Regression Suite","Sun Apr 12 04:46:36 UTC 2026","passed","Sun Apr 12 04:46:37 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"All 6 products should be displayed on Products page","87","Verify all 6 products are displayed","Regression Suite","Sun Apr 12 04:46:36 UTC 2026","passed","Sun Apr 12 04:46:36 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"Blocked user should not be able to login, and user is blocked message should be displayed","558","Verify locked out user cannot login","Regression Suite","Sun Apr 12 04:46:35 UTC 2026","passed","Sun Apr 12 04:46:35 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should not be able to login with invalid username or password, and error message should be displayed","541","Verify error message with invalid credentials (password)","Regression Suite","Sun Apr 12 04:46:33 UTC 2026","passed","Sun Apr 12 04:46:34 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
