"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should be able to login with valid credentials and product page should be displayed","717","Verify successful login","Smoke Suite","Fri Apr 10 13:30:41 UTC 2026","passed","Fri Apr 10 13:30:42 UTC 2026","tests.LoginTest","Smoke","tests.LoginTest","loginWithValidCredentials"
"All 6 products should be displayed on Products page","56","Verify all 6 products are displayed","Smoke Suite","Fri Apr 10 13:30:43 UTC 2026","passed","Fri Apr 10 13:30:43 UTC 2026","tests.ProductsTest","Smoke","tests.ProductsTest","allProductsShouldDisplay"
