"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"All 6 products should be displayed on Products page","70","Verify all 6 products are displayed","Regression Suite","Mon Apr 13 04:57:56 UTC 2026","passed","Mon Apr 13 04:57:56 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
"User should be able to login with valid credentials and product page should be displayed","415","Verify successful login","Regression Suite","Mon Apr 13 04:57:57 UTC 2026","passed","Mon Apr 13 04:57:57 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","179","Verify adding products to cart updates badge","Regression Suite","Mon Apr 13 04:57:55 UTC 2026","passed","Mon Apr 13 04:57:55 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"Blocked user should not be able to login, and user is blocked message should be displayed","565","Verify locked out user cannot login","Regression Suite","Mon Apr 13 04:57:55 UTC 2026","passed","Mon Apr 13 04:57:56 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should not be able to login with invalid username or password, and error message should be displayed","531","Verify error message with invalid credentials (password)","Regression Suite","Mon Apr 13 04:57:54 UTC 2026","passed","Mon Apr 13 04:57:55 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
