"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should be able to login with valid credentials and product page should be displayed","422","Verify successful login","Regression Suite","Fri Apr 10 14:11:27 UTC 2026","passed","Fri Apr 10 14:11:28 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithValidCredentials"
"Blocked user should not be able to login, and user is blocked message should be displayed","573","Verify locked out user cannot login","Regression Suite","Fri Apr 10 14:11:26 UTC 2026","passed","Fri Apr 10 14:11:27 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithLockedUser"
"User should not be able to login with invalid username or password, and error message should be displayed","536","Verify error message with invalid credentials (password)","Regression Suite","Fri Apr 10 14:11:25 UTC 2026","passed","Fri Apr 10 14:11:25 UTC 2026","tests.LoginTest","Full Regression","tests.LoginTest","loginWithInvalidCredentials"
"After adding item to cart, cart icon should be updated with number of item added in cart","204","Verify adding products to cart updates badge","Regression Suite","Fri Apr 10 14:11:25 UTC 2026","passed","Fri Apr 10 14:11:25 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","addToCartShouldShowBatchCount"
"All 6 products should be displayed on Products page","103","Verify all 6 products are displayed","Regression Suite","Fri Apr 10 14:11:27 UTC 2026","passed","Fri Apr 10 14:11:27 UTC 2026","tests.ProductsTest","Full Regression","tests.ProductsTest","allProductsShouldDisplay"
